#  E (eV)   dos(E)     Int dos(E) EFermi =    6.852 eV
  11.000  0.2739E+02  0.5847E+03
  11.100  0.1578E+02  0.5863E+03
  11.200  0.8414E+01  0.5872E+03
  11.300  0.2502E+01  0.5874E+03
  11.400  0.2819E+00  0.5874E+03
  11.500  0.6279E-01  0.5875E+03
  11.600  0.1333E+01  0.5876E+03
  11.700  0.1234E+02  0.5888E+03
  11.800  0.4310E+02  0.5931E+03
  11.900  0.6260E+02  0.5994E+03
  12.000  0.4670E+02  0.6041E+03
  12.100  0.2622E+02  0.6067E+03
  12.200  0.1928E+02  0.6086E+03
  12.300  0.2128E+02  0.6107E+03
  12.400  0.1695E+02  0.6124E+03
  12.500  0.8085E+01  0.6132E+03
  12.600  0.1886E+01  0.6134E+03
  12.700  0.1700E+00  0.6134E+03
  12.800  0.5377E-02  0.6134E+03
  12.900  0.5819E-04  0.6134E+03
  13.000  0.2162E-06  0.6134E+03
  13.100  0.1320E-05  0.6134E+03
  13.200  0.2932E-03  0.6134E+03
  13.300  0.2210E-01  0.6134E+03
  13.400  0.5655E+00  0.6135E+03
  13.500  0.4915E+01  0.6140E+03
  13.600  0.1460E+02  0.6155E+03
  13.700  0.1592E+02  0.6170E+03
  13.800  0.1157E+02  0.6182E+03
  13.900  0.1644E+02  0.6198E+03
  14.000  0.3228E+02  0.6231E+03
  14.100  0.5619E+02  0.6287E+03
  14.200  0.6826E+02  0.6355E+03
  14.300  0.5240E+02  0.6408E+03
  14.400  0.3368E+02  0.6441E+03
  14.500  0.2609E+02  0.6467E+03
  14.600  0.2467E+02  0.6492E+03
  14.700  0.4185E+02  0.6534E+03
  14.800  0.7425E+02  0.6608E+03
  14.900  0.7807E+02  0.6686E+03
  15.000  0.5726E+02  0.6743E+03
  15.100  0.3515E+02  0.6779E+03
  15.200  0.3611E+02  0.6815E+03
  15.300  0.4688E+02  0.6862E+03
  15.400  0.5117E+02  0.6913E+03
  15.500  0.4952E+02  0.6962E+03
  15.600  0.2602E+02  0.6988E+03
  15.700  0.5634E+01  0.6994E+03
  15.800  0.4622E+00  0.6994E+03
  15.900  0.1379E-01  0.6994E+03
  16.000  0.1459E-03  0.6994E+03
  16.100  0.5400E-06  0.6994E+03
  16.200  0.6932E-09  0.6994E+03
  16.300  0.3071E-12  0.6994E+03
  16.400  0.4679E-16  0.6994E+03
  16.500  0.2445E-20  0.6994E+03
  16.600  0.4373E-25  0.6994E+03
  16.700  0.2673E-30  0.6994E+03
  16.800  0.5573E-36  0.6994E+03
  16.900  0.3960E-42  0.6994E+03
  17.000  0.9582E-49  0.6994E+03
  17.100  0.7889E-56  0.6994E+03
  17.200  0.2209E-63  0.6994E+03
  17.300  0.2102E-71  0.6994E+03
  17.400  0.6804E-80  0.6994E+03
  17.500  0.4453E-83  0.6994E+03
  17.600  0.4453E-83  0.6994E+03
  17.700  0.4453E-83  0.6994E+03
  17.800  0.4453E-83  0.6994E+03
  17.900  0.4453E-83  0.6994E+03
  18.000  0.4453E-83  0.6994E+03
